Sales/Revenues,Gross Margin,EBITDA,EBITDA Margin,Net Income Before Extras,Total Debt,Net Debt,LT Debt,ST Debt,Cash,Free Cash Flow,Total Debt/EBITDA,Net Debt/EBITDA,Total MV,Total Debt/MV,Net Debt/MV,CFO/Debt,CFO,Interest Coverage,Total Liquidity,Current Liquidity,Current Liabilities,EPS Before Extras,PE,ROA,ROE,InvGrd,Rating
-0.005496207,0.030763007,0.018884835,0.024515337,0.146849239,-0.029710221,-0.019296428,-0.042648072,0.049875312,-0.133716475,0.35299653,-0.047694245,-0.037473745,0.263605442,-0.232128982,-0.223883419,0.101244917,0.068525703,0.136748256,0.392142857,-0.184887396,0.062781137,0.148305085,0.100409137,0.163266432,0.102520779,1,A1
-0.005496207,0.030763007,0.088715758,0.094732716,0.146849239,-0.029710221,-0.019296428,-0.042648072,0.049875312,-0.133716475,0.35299653,-0.108775694,-0.099210764,0.045419554,-0.071863601,-0.061908739,0.101244917,0.068525703,0.214657009,0.392142857,-0.184887396,0.062781137,0.148305085,-0.089597599,0.163266432,0.102520779,1,A1
-0.00704452,0.023159093,0.088715758,0.096439566,0.108589951,0.039409787,0.034267913,0.009058668,0.25037125,0.101315149,0.500174012,-0.045287775,-0.050011398,0.060518732,-0.019903082,-0.024748322,0.027638105,0.068136273,0.205289636,0.48325723,-0.017876914,0.121357489,0.110655738,-0.045141827,0.105711456,0.103377776,1,A1
-0.00939637,0.028400181,0.088715758,0.099045733,0.146137223,0.030070975,0.03693814,-0.016963594,0.35699406,-0.052605943,0.551591622,-0.053865888,-0.047558672,0.142160279,-0.098138599,-0.092127392,0.04243744,0.073783931,0.232990692,0.996955099,-0.122017333,0.079050727,0.151639344,-0.00823083,0.162421446,0.13229494,1,A1
-0.009008612,0.027714165,0.088715758,0.098611372,0.123500261,0.024223617,0.034444791,-0.03413235,0.461893504,-0.090868794,0.753321331,-0.059237167,-0.049848785,0.147988506,-0.107808259,-0.098903842,0.106051571,0.132844549,0.172905615,1.711425563,-0.161561151,0.084318715,0.130434783,0.015528326,0.156427194,0.225144201,1,A1
-0.000975113,0.02896183,0.088715758,0.089782264,0.115292637,0.044688356,0.029130373,-0.14502012,2.069438063,0.237229862,0.445081997,-0.040439614,-0.054729762,0.483535529,-0.295813357,-0.306298864,0.038242943,0.084642757,0.113915189,14.62962626,-0.011533548,0.251670207,0.125954198,0.317580773,0.154518182,0.233034176,1,A1
0.007961848,0.027143937,0.088715758,0.080114587,0.109770955,0.009595687,-0.007627836,-0.073851323,0.477671971,0.204333481,0.345302482,-0.072673047,-0.088492462,0.280841616,-0.211775998,-0.225215286,0.104359072,0.114958127,0.066788371,0.79476706,0.120642572,0.074682519,0.121771218,0.142614264,0.134684901,0.244262823,1,A1
0.007961848,0.027143937,0.099030471,0.090349534,0.109770955,0.009595687,-0.007627836,-0.073851323,0.477671971,0.204333481,0.345302482,-0.0813765,-0.09704738,0.228876351,-0.178445041,-0.192456957,0.104359072,0.114958127,0.076895365,0.79476706,0.120642572,0.074682519,0.121771218,0.096256959,0.134684901,0.244262823,1,A1
0.013933214,0.033939206,0.099030471,0.08392973,0.141934576,0.002515723,-0.000821468,-0.050052932,0.297387173,0.040247678,0.291443994,-0.087818217,-0.090854741,0.214744679,-0.174707969,-0.177456071,0.099653552,0.102421968,0.083492747,0.595690097,0.00538392,0.034678924,0.158671587,0.057714221,0.17005896,0.233218254,1,A1
0.016340452,0.028669889,0.099030471,0.081359407,0.104524982,0.011604714,-0.00339446,-0.024906589,0.195447843,0.209254499,0.248647318,-0.079547932,-0.093195971,0.105486694,-0.084929667,-0.098493586,0.084041929,0.096623685,0.059150395,0.185213866,0.124635822,0.075245984,0.117437722,-0.00190039,0.112976365,0.201723654,1,A1
